datetime,1335A,1336A,1337A,1338A,1339A,1340A,1341A,1342A,1343A,1344A,average_pm2.5
2023/11/10,26.333333333333332,29.5,26.375,26.416666666666668,18.333333333333332,39.166666666666664,30.416666666666668,19.875,30.791666666666668,16.833333333333332,26.40416666666667
2023/11/11,17.270833333333332,21.25,18.958333333333332,13.375,18.625,18.291666666666668,20.375,8.416666666666666,22.666666666666668,17.104166666666668,17.633333333333333
2023/11/12,19.666666666666668,19.833333333333332,20.458333333333332,20.208333333333332,18.458333333333332,24.791666666666668,19.625,20.916666666666668,22.916666666666668,15.416666666666666,20.229166666666668
2023/11/13,50.083333333333336,52.041666666666664,54.166666666666664,45.791666666666664,54.791666666666664,54.416666666666664,51.25,59.104166666666664,59.083333333333336,42.458333333333336,52.31875
2023/11/14,47.958333333333336,50.416666666666664,54.208333333333336,46.375,58.6875,49.875,54.541666666666664,56.104166666666664,56.625,33.25,50.80416666666667
2023/11/15,34.666666666666664,45.541666666666664,43.416666666666664,38.958333333333336,52.875,37.291666666666664,45.395833333333336,47.291666666666664,48.666666666666664,21.583333333333332,41.56875
2023/11/16,34.041666666666664,41.479166666666664,35.208333333333336,31.75,40.041666666666664,35.541666666666664,44.708333333333336,41.125,40.458333333333336,31.541666666666668,37.58958333333333
2023/11/17,41,41.666666666666664,43.125,37.666666666666664,41.208333333333336,41.75,51.875,38.333333333333336,34.875,31.625,40.3125
2023/11/18,37.666666666666664,45.458333333333336,43.25,37.583333333333336,41.958333333333336,38.875,49.041666666666664,39.5,35.833333333333336,24.666666666666668,39.38333333333333
2023/11/19,39.104166666666664,43.166666666666664,46.833333333333336,42.5,43.041666666666664,48.125,56.666666666666664,45.208333333333336,45.041666666666664,31.708333333333332,44.13958333333333
2023/11/20,38.458333333333336,48.416666666666664,47.25,39.083333333333336,36.666666666666664,42.958333333333336,58.916666666666664,36.833333333333336,41.25,27.916666666666668,41.775
2023/11/21,40.125,38.875,41.833333333333336,39,33.875,45.395833333333336,42.708333333333336,36.791666666666664,45.375,35.125,39.91041666666667
2023/11/22,46.041666666666664,41.583333333333336,51.375,46,40.083333333333336,53.916666666666664,44.708333333333336,44.583333333333336,47.708333333333336,34.458333333333336,45.04583333333333
2023/11/23,51.041666666666664,65.41666666666667,61.541666666666664,63.833333333333336,61.625,54.125,58.666666666666664,60.083333333333336,63.291666666666664,39.666666666666664,57.92916666666667
2023/11/24,33,35.083333333333336,35.125,37.375,36.291666666666664,26.583333333333332,34.416666666666664,35.041666666666664,35.9375,30.583333333333332,33.94375
2023/11/25,41.583333333333336,40.791666666666664,42.125,46.333333333333336,43.625,39.958333333333336,42.875,47.166666666666664,44.291666666666664,35.041666666666664,42.37916666666667
